country,city,state,name,address,joined,type_of_office,price,time_period
brazil,belo-horizonte,,bh-office,"R. Piauí, 1627 - Funcionários, Belo Horizonte, Brazil",November 2017,Membership: Dedicated Desk,BRL 270.00,1 Month
brazil,belo-horizonte,,bh-office,"R. Piauí, 1627 - Funcionários, Belo Horizonte, Brazil",November 2017,Membership: Hot Desk / Open Plan,BRL 50.00,1 Day
brazil,belo-horizonte,,bh-office,"R. Piauí, 1627 - Funcionários, Belo Horizonte, Brazil",November 2017,Membership: Hot Desk / Open Plan,BRL 450.00,1 Month
brazil,curitiba,,coworking-plano-forte,"R. Belo Horizonte, 56 - Batel, Curitiba, Brazil",November 2017,Membership: Hot Desk / Open Plan,BRL 570.00,1 Month
brazil,belo-horizonte,,spacejob-coworking,"2683 Rua dos Timbiras, Belo Horizonte, Brazil",November 2017,Membership: Dedicated Desk,BRL 140.00,1 Month
brazil,curitiba,,duo-cowork,"Rua José Izidoro Biazetto, 1210 - sala 401 - Mossunguê, Curitiba, Brazil",November 2017,Membership: Hot Desk / Open Plan,BRL 475.00,1 Month
brazil,sao-paulo,,estacao-coworking,"957 Rua Mourato Coelho, Sao Paulo, Brazil",December 2016,Membership: Hot Desk / Open Plan,BRL 935.00,1 Month
brazil,sao-jose-dos-campos,,co-necta,"Praça Chuí, 35 - Vila Ema - Jardim Maringa, Sao Jose dos Campos, Brazil",November 2017,Membership: Hot Desk / Open Plan,EUR 195.00,1 Month
brazil,belo-horizonte,,guaja-coworking,"2881 Avenida Afonso Pena, Belo Horizonte, Brazil",November 2017,Membership: Hot Desk / Open Plan,BRL 13.00,1 Hour
brazil,belo-horizonte,,guaja-coworking,"2881 Avenida Afonso Pena, Belo Horizonte, Brazil",November 2017,Membership: Hot Desk / Open Plan,BRL 52.00,1 Day
brazil,belo-horizonte,,guaja-coworking,"2881 Avenida Afonso Pena, Belo Horizonte, Brazil",November 2017,Membership: Hot Desk / Open Plan,BRL 542.00,1 Month
brazil,rio-de-janeiro,,coworking-town,"Avenida Pastor Martin Luther King Jr. 126 - Torre 3000 - Sala 812 - Del Castilho, Rio de Janeiro, Brazil",October 2017,Membership: Private Office,BRL 2199.00,1 Month
brazil,rio-de-janeiro,,coworking-town,"Avenida Pastor Martin Luther King Jr. 126 - Torre 3000 - Sala 812 - Del Castilho, Rio de Janeiro, Brazil",October 2017,Membership: Private Office,BRL 1799.00 /month,6 Months
brazil,rio-de-janeiro,,coworking-town,"Avenida Pastor Martin Luther King Jr. 126 - Torre 3000 - Sala 812 - Del Castilho, Rio de Janeiro, Brazil",October 2017,Membership: Dedicated Desk,BRL 1049.00,1 Month
brazil,rio-de-janeiro,,coworking-town,"Avenida Pastor Martin Luther King Jr. 126 - Torre 3000 - Sala 812 - Del Castilho, Rio de Janeiro, Brazil",October 2017,Membership: Dedicated Desk,BRL 899.00 /month,6 Months
brazil,rio-de-janeiro,,coworking-town,"Avenida Pastor Martin Luther King Jr. 126 - Torre 3000 - Sala 812 - Del Castilho, Rio de Janeiro, Brazil",October 2017,Membership: Hot Desk / Open Plan,BRL 69.00,1 Day
brazil,rio-de-janeiro,,coworking-town,"Avenida Pastor Martin Luther King Jr. 126 - Torre 3000 - Sala 812 - Del Castilho, Rio de Janeiro, Brazil",October 2017,Membership: Hot Desk / Open Plan,BRL 839.00,1 Month
brazil,rio-de-janeiro,,coworking-town,"Avenida Pastor Martin Luther King Jr. 126 - Torre 3000 - Sala 812 - Del Castilho, Rio de Janeiro, Brazil",October 2017,Membership: Hot Desk / Open Plan,BRL 699.00 /month,6 Months
brazil,porto-alegre,,coletivo-workspace,"Rua Jaime Telles, 62 - Petrópolis, Porto Alegre, Brazil",October 2017,Membership: Dedicated Desk,BRL 499.00,1 Month
brazil,porto-alegre,,coletivo-workspace,"Rua Jaime Telles, 62 - Petrópolis, Porto Alegre, Brazil",October 2017,Membership: Hot Desk / Open Plan,BRL 499.00,1 Month
brazil,sao-paulo,,coworking-consolacao,"100 Rua Doutor Teodoro Baima, Sao Paulo, Brazil",November 2017,Membership: Dedicated Desk,BRL 600.00,1 Month
brazil,campinas,,espaco-949-coworking,"2239 Rua General Osório, Campinas, Brazil",August 2017,Membership: Hot Desk / Open Plan,BRL 699.00,1 Month
